"","State","Age_group","Deaths","Population","Female","Male"
"412","New Jersey","45-54",11947,11973471,NA,99.8
"413","New Jersey","55-64",9589,9813224,97.7,NA
"414","New Jersey","55-64",21892,8958645,NA,244.4
"415","New Jersey","65-74",20159,6545448,308,NA
"416","New Jersey","65-74",32743,5393861,NA,607
"417","New Jersey","75-84",52209,4580546,1139.8,NA
"418","New Jersey","75-84",54343,3059609,NA,1776.1
"419","New Jersey","85+",56432,997084,NA,5659.7
"420","New Jersey","85+",108454,2203383,4922.2,NA
"421","New Mexico","25-34",91,2402718,3.8,NA
"422","New Mexico","25-34",229,2478451,NA,9.2
"423","New Mexico","35-44",254,2463844,10.3,NA
"424","New Mexico","35-44",786,2424857,NA,32.4
"425","New Mexico","45-54",960,2616183,36.7,NA
"426","New Mexico","45-54",2543,2501139,NA,101.7
"427","New Mexico","55-64",2134,2248925,94.9,NA
"428","New Mexico","55-64",5154,2081008,NA,247.7
"429","New Mexico","65-74",3899,1518469,256.8,NA
"430","New Mexico","65-74",7146,1363237,NA,524.2
"431","New Mexico","75-84",8168,901158,906.4,NA
"432","New Mexico","75-84",9591,708620,NA,1353.5
"433","New Mexico","85+",9055,206602,NA,4382.8
"434","New Mexico","85+",14511,374699,3872.7,NA
"435","New York","25-34",917,26143878,3.5,NA
"436","New York","25-34",2081,25517923,NA,8.2
"437","New York","35-44",3339,26652406,12.5,NA
"438","New York","35-44",8238,25663678,NA,32.1
"439","New York","45-54",10842,26875826,40.3,NA
"440","New York","45-54",27580,25260972,NA,109.2
"441","New York","55-64",25637,21712680,118.1,NA
"442","New York","55-64",54390,19465711,NA,279.4
"443","New York","65-74",53720,14627788,367.2,NA
"444","New York","65-74",81152,11916331,NA,681
"445","New York","75-84",129176,6683383,NA,1932.8
"446","New York","75-84",130464,10018056,1302.3,NA
"447","New York","85+",135051,2208336,NA,6115.5
"448","New York","85+",274734,4913841,5591,NA
"449","North Carolina","25-34",685,11876711,5.8,NA
"450","North Carolina","25-34",1251,11752319,NA,10.6
"451","North Carolina","35-44",2488,12610455,19.7,NA
"452","North Carolina","35-44",5219,12240848,NA,42.6
"453","North Carolina","45-54",6758,12490467,54.1,NA
"454","North Carolina","45-54",16015,11830109,NA,135.4
"455","North Carolina","55-64",13273,10367235,128,NA
"456","North Carolina","55-64",29304,9386375,NA,312.2
"457","North Carolina","65-74",23550,7124666,330.5,NA
"458","North Carolina","65-74",39139,5999196,NA,652.4
"459","North Carolina","75-84",45791,4366801,1048.6,NA
"460","North Carolina","75-84",47796,2947545,NA,1621.6
"461","North Carolina","85+",36597,788861,NA,4639.2
"462","North Carolina","85+",72869,1856768,3924.5,NA
"463","North Dakota","25-34",43,790693,5.4,NA
"464","North Dakota","25-34",81,895100,NA,9
"465","North Dakota","35-44",125,776828,16.1,NA
"466","North Dakota","35-44",299,822659,NA,36.3
