State,Gender,Age_group,Deaths,Population,Crude_Rate
New Jersey,Male,35-44,3642,12119527,30.1
New Jersey,Female,45-54,4295,12610851,34.1
New Jersey,Male,45-54,11947,11973471,99.8
New Jersey,Female,55-64,9589,9813224,97.7
New Jersey,Male,55-64,21892,8958645,244.4
New Jersey,Female,65-74,20159,6545448,308
New Jersey,Male,65-74,32743,5393861,607
New Jersey,Female,75-84,52209,4580546,1139.8
New Jersey,Male,75-84,54343,3059609,1776.1
New Jersey,Female,85+,108454,2203383,4922.2
New Jersey,Male,85+,56432,997084,5659.7
New Mexico,Female,25-34,91,2402718,3.8
New Mexico,Male,25-34,229,2478451,9.2
New Mexico,Female,35-44,254,2463844,10.3
New Mexico,Male,35-44,786,2424857,32.4
New Mexico,Female,45-54,960,2616183,36.7
New Mexico,Male,45-54,2543,2501139,101.7
New Mexico,Female,55-64,2134,2248925,94.9
New Mexico,Male,55-64,5154,2081008,247.7
New Mexico,Female,65-74,3899,1518469,256.8
New Mexico,Male,65-74,7146,1363237,524.2
New Mexico,Female,75-84,8168,901158,906.4
New Mexico,Male,75-84,9591,708620,1353.5
New Mexico,Female,85+,14511,374699,3872.7
New Mexico,Male,85+,9055,206602,4382.8
New York,Female,25-34,917,26143878,3.5
New York,Male,25-34,2081,25517923,8.2
New York,Female,35-44,3339,26652406,12.5
New York,Male,35-44,8238,25663678,32.1
New York,Female,45-54,10842,26875826,40.3
New York,Male,45-54,27580,25260972,109.2
New York,Female,55-64,25637,21712680,118.1
New York,Male,55-64,54390,19465711,279.4
New York,Female,65-74,53720,14627788,367.2
New York,Male,65-74,81152,11916331,681
New York,Female,75-84,130464,10018056,1302.3
New York,Male,75-84,129176,6683383,1932.8
New York,Female,85+,274734,4913841,5591
New York,Male,85+,135051,2208336,6115.5
North Carolina,Female,25-34,685,11876711,5.8
North Carolina,Male,25-34,1251,11752319,10.6
North Carolina,Female,35-44,2488,12610455,19.7
North Carolina,Male,35-44,5219,12240848,42.6
North Carolina,Female,45-54,6758,12490467,54.1
North Carolina,Male,45-54,16015,11830109,135.4
North Carolina,Female,55-64,13273,10367235,128
North Carolina,Male,55-64,29304,9386375,312.2
North Carolina,Female,65-74,23550,7124666,330.5
North Carolina,Male,65-74,39139,5999196,652.4
North Carolina,Female,75-84,45791,4366801,1048.6
North Carolina,Male,75-84,47796,2947545,1621.6
North Carolina,Female,85+,72869,1856768,3924.5
North Carolina,Male,85+,36597,788861,4639.2
North Dakota,Female,25-34,43,790693,5.4
North Dakota,Male,25-34,81,895100,9
North Dakota,Female,35-44,125,776828,16.1
North Dakota,Male,35-44,299,822659,36.3
North Dakota,Female,45-54,290,855266,33.9
North Dakota,Male,45-54,923,889051,103.8
North Dakota,Female,55-64,611,698882,87.4
North Dakota,Male,55-64,1727,721672,239.3
North Dakota,Female,65-74,1249,481367,259.5
North Dakota,Male,65-74,2498,442115,565
North Dakota,Female,75-84,3029,368012,823.1
North Dakota,Male,75-84,4160,272322,1527.6
North Dakota,Female,85+,8123,210542,3858.1
North Dakota,Male,85+,4789,101266,4729.1
Ohio,Female,25-34,880,13886935,6.3
Ohio,Male,25-34,1706,13818162,12.3
Ohio,Female,35-44,3066,15016265,20.4
Ohio,Male,35-44,6713,14738494,45.5
Ohio,Female,45-54,8747,16000596,54.7
Ohio,Male,45-54,21760,15456421,140.8
Ohio,Female,55-64,18162,13181836,137.8
Ohio,Male,55-64,39540,12294408,321.6
Ohio,Female,65-74,34053,8962774,379.9
Ohio,Male,65-74,52997,7578907,699.3
Ohio,Female,75-84,74811,6207988,1205.1
Ohio,Male,75-84,77454,4226530,1832.6
Ohio,Female,85+,131672,2849732,4620.5
Ohio,Male,85+,69314,1276581,5429.7
Oklahoma,Female,25-34,323,4576096,7.1
Oklahoma,Male,25-34,660,4729399,14
