"","County","FIPS","State","FFRPTH14","PCH_FFRPTH_09_14","FSRPTH14","PCH_FSRPTH_09_14","long","lat","group","order","State_name"
"7153","Augusta",51015,"VA",0.36554656,17.36269636,0.338469037,-7.42997201,-78.9020156860352,37.9584541320801,2798,81498,"Virginia"
"7194","Aurora",46003,"SD",0.72859745,-1.202185792,1.4571949,-1.202185792,-98.3138275146484,43.8484573364258,2331,69421,"South dakota"
"7204","Austin",48015,"TX",0.515216047,-14.37109295,0.515216047,32.33558363,-96.0563735961914,29.684944152832,2499,74666,"Texas"
"7236","Autauga",1001,"AL",0.649878148,17.27051178,0.523512952,-16.64595977,-86.8317489624023,32.4236831665039,1,32,"Alabama"
"7287","Avery",37011,"NC",0.562651213,12.06136649,1.744218759,42.11418751,-82.0475616455078,36.1192588806152,1862,55074,"North carolina"
"7319","Avoyelles",22009,"LA",0.388868635,-25.70134447,0.267347187,2.160651355,-92.1316146850586,31.3064136505127,1083,32306,"Louisiana"
"7385","Baca",8009,"CO",0.274348422,-48.32647462,0.274348422,-65.55098308,-102.049514770508,37.0016136169434,219,10065,"Colorado"
"7398","Bacon",13005,"GA",0.620512366,-23.23572575,0.354578495,31.59589871,-82.4830017089844,31.6673755645752,360,14813,"Georgia"
"7436","Bailey",48017,"TX",0.578871201,36.03473227,0.578871201,36.03473227,-102.61100769043,33.8274269104004,2500,74682,"Texas"
"7441","Baker",41001,"OR",0.560433402,29.90045635,1.369948316,1.033688274,-84.4539794921875,31.180362701416,361,14885,"Georgia"
"7578","Baker",13007,"GA",0,0,0,0,-84.4539794921875,31.180362701416,361,14885,"Georgia"
"7715","Baker",12003,"FL",0.590558447,23.21774855,0.479828738,18.31704264,-84.4539794921875,31.180362701416,361,14885,"Georgia"
"7852","Baldwin",1003,"AL",0.659633903,5.662750031,1.104387065,-1.914026824,-87.610969543457,30.8423175811768,2,92,"Alabama"
"8007","Baldwin",13009,"GA",0.871288854,36.75459423,0.653466641,6.102702423,-87.610969543457,30.8423175811768,2,92,"Alabama"
"8162","Ballard",21007,"KY",0.485436893,298.2524272,0.849514563,39.38834952,-88.8141860961914,36.9615058898926,962,27625,"Kentucky"
"8186","Baltimore",24510,"MD",1.075798861,7.842144653,0.582858189,15.18113118,-76.4497604370117,39.5111694335938,1162,36748,"Maryland"
"8240","Baltimore",24005,"MD",0.89367234,4.759302899,0.505487197,7.22319526,-76.4497604370117,39.5111694335938,1162,36748,"Maryland"
"8294","Bamberg",45009,"SC",0.724542221,16.08615466,0.263469899,5.53286787,-80.8729934692383,33.0883102416992,2289,67322,"South carolina"
"8313","Bandera",48019,"TX",0.335056481,-2.522496649,0.62224775,-29.59958091,-98.9612731933594,29.5474319458008,2501,74697,"Texas"
"8328","Banks",13011,"GA",0.765236403,-7.110503781,0.929215633,30.14737108,-83.6231842041016,34.2857933044434,363,14954,"Georgia"
"8350","Banner",31007,"NE",0,0,0,0,-104.060592651367,41.6998672485352,1625,49176,"Nebraska"
"8357","Bannock",16005,"ID",0.755876036,6.857413315,0.659891778,-6.711782026,-111.996063232422,42.6452484130859,519,20124,"Idaho"
"8421","Baraga",26013,"MI",0.808874509,43.55904784,0.693321008,23.05061243,-88.2641525268555,46.839298248291,1204,38687,"Michigan"
"8459","Barber",20007,"KS",0.816826629,32.92492002,1.021033286,-37.69144374,-98.5430145263672,37.0016136169434,857,26438,"Kansas"
"8468","Barbour",1005,"AL",0.818239298,7.762115521,0.55789043,28.57979693,-80.1396102905273,39.0585327148438,2933,86753,"West virginia"
"8556","Barbour",54001,"WV",0.417511631,37.60348324,0.477156149,-12.63270905,-80.1396102905273,39.0585327148438,2933,86753,"West virginia"
"8644","Barnes",38003,"ND",0.71787509,13.09609271,1.256281407,-7.638190955,-98.4627990722656,46.976806640625,1960,58700,"North dakota"
"8655","Barnstable",25001,"MA",1.005053184,1.441802541,1.986841248,2.177568702,-70.6285095214844,41.7113265991211,1184,37823,"Massachusetts"
"8727","Barnwell",45011,"SC",0.637551801,2.969169816,0.455394144,-6.391663803,-81.5490875244141,33.1627998352051,2290,67347,"South carolina"
"8748","Barren",21009,"KY",0.857513674,-7.276386819,0.834337629,35.32635437,-86.1270217895508,36.9099426269531,963,27674,"Kentucky"
"8785","Barron",55005,"WI",0.63799362,0.926190738,0.96799032,-5.515906543,-92.1659927368164,45.6475486755371,2990,89028,"Wisconsin"
"8793","Barrow",13013,"GA",0.546149645,13.44686626,0.395958493,0.526528713,-83.7778930664062,34.0623397827148,364,14962,"Georgia"
"8810","Barry",29009,"MO",0.420615782,15.31343425,0.644944198,-17.90781704,-93.6155776977539,36.927131652832,1454,43894,"Missouri"
"8828","Barry",26015,"MI",0.320507414,5.890307743,0.590408394,-2.469453394,-93.6155776977539,36.927131652832,1454,43894,"Missouri"
"8846","Bartholomew",18005,"IN",0.885099169,14.86186938,0.698106386,0.851346383,-85.6972961425781,39.1330184936523,665,23703,"Indiana"
"8856","Barton",29011,"MO",0.497636228,-11.46340597,0.663514971,37.72359072,-99.035758972168,38.6918411254883,858,26443,"Kansas"
