,FIPS,State,State_name,County,long,lat,FFRPTH14,PCH_FFRPTH_09_14,FSRPTH14,PCH_FSRPTH_09_14
161,1029,AL,Alabama,Cleburne,-85.4702,33.9298,0.530503979,13.05797651,0.132625995,-50.53713528
162,1029,AL,Alabama,Cleburne,-85.5698,33.6471,0.530503979,13.05797651,0.132625995,-50.53713528
163,1029,AL,Alabama,Cleburne,-85.4523,33.8412,0.530503979,13.05797651,0.132625995,-50.53713528
164,1029,AL,Alabama,Cleburne,-85.339,33.5259,0.530503979,13.05797651,0.132625995,-50.53713528
165,1029,AL,Alabama,Cleburne,-85.6437,33.5231,0.530503979,13.05797651,0.132625995,-50.53713528
166,1029,AL,Alabama,Cleburne,-85.4312,33.7296,0.530503979,13.05797651,0.132625995,-50.53713528
167,1031,AL,Alabama,Coffee,-85.8459,31.3276,0.667858335,-5.660239699,0.550000982,-12.28371433
168,1031,AL,Alabama,Coffee,-86.0759,31.4172,0.667858335,-5.660239699,0.550000982,-12.28371433
169,1031,AL,Alabama,Coffee,-85.9228,31.3784,0.667858335,-5.660239699,0.550000982,-12.28371433
170,1031,AL,Alabama,Coffee,-86.1704,31.2199,0.667858335,-5.660239699,0.550000982,-12.28371433
171,1033,AL,Alabama,Colbert,-87.5291,34.6986,0.953376235,26.55720727,0.696698018,-5.20378417
172,1033,AL,Alabama,Colbert,-87.967,34.7577,0.953376235,26.55720727,0.696698018,-5.20378417
173,1033,AL,Alabama,Colbert,-87.6336,34.7426,0.953376235,26.55720727,0.696698018,-5.20378417
174,1033,AL,Alabama,Colbert,-87.7008,34.7556,0.953376235,26.55720727,0.696698018,-5.20378417
175,1033,AL,Alabama,Colbert,-87.6719,34.5951,0.953376235,26.55720727,0.696698018,-5.20378417
176,1033,AL,Alabama,Colbert,-87.7035,34.7204,0.953376235,26.55720727,0.696698018,-5.20378417
177,1033,AL,Alabama,Colbert,-87.8911,34.7387,0.953376235,26.55720727,0.696698018,-5.20378417
178,1035,AL,Alabama,Conecuh,-86.9584,31.4379,0.552486188,46.67403315,0.315706393,4.767166535
179,1035,AL,Alabama,Conecuh,-86.7711,31.2627,0.552486188,46.67403315,0.315706393,4.767166535
180,1035,AL,Alabama,Conecuh,-87.2394,31.4097,0.552486188,46.67403315,0.315706393,4.767166535
181,1035,AL,Alabama,Conecuh,-87.027,31.3001,0.552486188,46.67403315,0.315706393,4.767166535
182,1035,AL,Alabama,Conecuh,-87.2355,31.3127,0.552486188,46.67403315,0.315706393,4.767166535
183,1035,AL,Alabama,Conecuh,-87.1603,31.5535,0.552486188,46.67403315,0.315706393,4.767166535
184,1037,AL,Alabama,Coosa,-86.3169,33.0267,0.091861106,NA,0,0
185,1037,AL,Alabama,Coosa,-86.0516,33.0608,0.091861106,NA,0,0
186,1037,AL,Alabama,Coosa,-86.215,32.8896,0.091861106,NA,0,0
187,1037,AL,Alabama,Coosa,-86.2658,33.0725,0.091861106,NA,0,0
188,1037,AL,Alabama,Coosa,-86.035,32.879,0.091861106,NA,0,0
189,1037,AL,Alabama,Coosa,-86.1159,32.8746,0.091861106,NA,0,0
190,1037,AL,Alabama,Coosa,-86.0358,32.979,0.091861106,NA,0,0
191,1039,AL,Alabama,Covington,-86.5412,31.3524,0.633011552,-4.673524292,0.474758664,-25.52619085
192,1039,AL,Alabama,Covington,-86.2785,31.2246,0.633011552,-4.673524292,0.474758664,-25.52619085
193,1039,AL,Alabama,Covington,-86.6084,31.4055,0.633011552,-4.673524292,0.474758664,-25.52619085
194,1039,AL,Alabama,Covington,-86.3505,31.0128,0.633011552,-4.673524292,0.474758664,-25.52619085
195,1039,AL,Alabama,Covington,-86.685,31.4818,0.633011552,-4.673524292,0.474758664,-25.52619085
196,1039,AL,Alabama,Covington,-86.4842,31.4092,0.633011552,-4.673524292,0.474758664,-25.52619085
197,1039,AL,Alabama,Covington,-86.3976,31.3007,0.633011552,-4.673524292,0.474758664,-25.52619085
198,1039,AL,Alabama,Covington,-86.4781,31.3101,0.633011552,-4.673524292,0.474758664,-25.52619085
199,1039,AL,Alabama,Covington,-86.257,31.2848,0.633011552,-4.673524292,0.474758664,-25.52619085
200,1039,AL,Alabama,Covington,-86.46,31.2428,0.633011552,-4.673524292,0.474758664,-25.52619085
201,1039,AL,Alabama,Covington,-86.3229,31.3022,0.633011552,-4.673524292,0.474758664,-25.52619085
202,1039,AL,Alabama,Covington,-86.5227,31.2337,0.633011552,-4.673524292,0.474758664,-25.52619085
203,1039,AL,Alabama,Covington,-86.3138,31.0176,0.633011552,-4.673524292,0.474758664,-25.52619085
204,1039,AL,Alabama,Covington,-86.4673,31.3579,0.633011552,-4.673524292,0.474758664,-25.52619085
205,1039,AL,Alabama,Covington,-86.3211,31.2382,0.633011552,-4.673524292,0.474758664,-25.52619085
206,1041,AL,Alabama,Crenshaw,-86.3694,31.5031,0.357730557,67.22711121,0.429276669,-33.10915552
207,1041,AL,Alabama,Crenshaw,-86.3139,31.9535,0.357730557,67.22711121,0.429276669,-33.10915552
208,1041,AL,Alabama,Crenshaw,-86.2057,31.8495,0.357730557,67.22711121,0.429276669,-33.10915552
209,1041,AL,Alabama,Crenshaw,-86.2569,31.5823,0.357730557,67.22711121,0.429276669,-33.10915552
210,1041,AL,Alabama,Crenshaw,-86.302,31.724,0.357730557,67.22711121,0.429276669,-33.10915552
211,1041,AL,Alabama,Crenshaw,-86.2687,31.7186,0.357730557,67.22711121,0.429276669,-33.10915552
212,1041,AL,Alabama,Crenshaw,-86.4061,31.8507,0.357730557,67.22711121,0.429276669,-33.10915552
213,1041,AL,Alabama,Crenshaw,-86.173,31.6675,0.357730557,67.22711121,0.429276669,-33.10915552
214,1043,AL,Alabama,Cullman,-86.97,33.9945,0.651994735,4.776857877,0.590485798,7.832100732
215,1043,AL,Alabama,Cullman,-86.7636,34.0631,0.651994735,4.776857877,0.590485798,7.832100732
216,1043,AL,Alabama,Cullman,-86.8642,34.2347,0.651994735,4.776857877,0.590485798,7.832100732
217,1043,AL,Alabama,Cullman,-86.9017,33.9457,0.651994735,4.776857877,0.590485798,7.832100732
218,1043,AL,Alabama,Cullman,-86.9625,33.9051,0.651994735,4.776857877,0.590485798,7.832100732
219,1043,AL,Alabama,Cullman,-86.8402,34.1791,0.651994735,4.776857877,0.590485798,7.832100732
220,1043,AL,Alabama,Cullman,-86.8837,34.0452,0.651994735,4.776857877,0.590485798,7.832100732
221,1043,AL,Alabama,Cullman,-86.865,34.1098,0.651994735,4.776857877,0.590485798,7.832100732
222,1043,AL,Alabama,Cullman,-87.052,34.2104,0.651994735,4.776857877,0.590485798,7.832100732
223,1043,AL,Alabama,Cullman,-86.6082,34.2609,0.651994735,4.776857877,0.590485798,7.832100732
224,1043,AL,Alabama,Cullman,-86.6843,34.2477,0.651994735,4.776857877,0.590485798,7.832100732
225,1043,AL,Alabama,Cullman,-86.6125,34.1696,0.651994735,4.776857877,0.590485798,7.832100732
226,1043,AL,Alabama,Cullman,-86.752,34.0152,0.651994735,4.776857877,0.590485798,7.832100732
227,1043,AL,Alabama,Cullman,-86.7926,34.1856,0.651994735,4.776857877,0.590485798,7.832100732
228,1043,AL,Alabama,Cullman,-86.9625,34.2401,0.651994735,4.776857877,0.590485798,7.832100732
229,1043,AL,Alabama,Cullman,-86.5506,34.2982,0.651994735,4.776857877,0.590485798,7.832100732
230,1045,AL,Alabama,Dale,-85.7131,31.5978,0.687090777,3.800677538,0.606256568,-2.502209903
231,1045,AL,Alabama,Dale,-85.455,31.3149,0.687090777,3.800677538,0.606256568,-2.502209903
232,1045,AL,Alabama,Dale,-85.5893,31.3423,0.687090777,3.800677538,0.606256568,-2.502209903
233,1045,AL,Alabama,Dale,-85.7114,31.2914,0.687090777,3.800677538,0.606256568,-2.502209903
234,1045,AL,Alabama,Dale,-85.7136,31.2435,0.687090777,3.800677538,0.606256568,-2.502209903
235,1045,AL,Alabama,Dale,-85.4502,31.2999,0.687090777,3.800677538,0.606256568,-2.502209903
236,1045,AL,Alabama,Dale,-85.7687,31.3071,0.687090777,3.800677538,0.606256568,-2.502209903
237,1045,AL,Alabama,Dale,-85.4658,31.4757,0.687090777,3.800677538,0.606256568,-2.502209903
238,1045,AL,Alabama,Dale,-85.6473,31.4508,0.687090777,3.800677538,0.606256568,-2.502209903
239,1045,AL,Alabama,Dale,-85.543,31.3173,0.687090777,3.800677538,0.606256568,-2.502209903
240,1045,AL,Alabama,Dale,-85.4937,31.3157,0.687090777,3.800677538,0.606256568,-2.502209903
241,1045,AL,Alabama,Dale,-85.4299,31.6085,0.687090777,3.800677538,0.606256568,-2.502209903
242,1047,AL,Alabama,Dallas,-87.2454,32.3068,0.455515332,-0.335523004,0.359617367,-1.646897701
243,1047,AL,Alabama,Dallas,-87.0083,32.3951,0.455515332,-0.335523004,0.359617367,-1.646897701
244,1047,AL,Alabama,Dallas,-87.0172,32.3912,0.455515332,-0.335523004,0.359617367,-1.646897701
245,1047,AL,Alabama,Dallas,-86.9858,32.2876,0.455515332,-0.335523004,0.359617367,-1.646897701
246,1047,AL,Alabama,Dallas,-87.2389,32.4374,0.455515332,-0.335523004,0.359617367,-1.646897701
247,1047,AL,Alabama,Dallas,-87.0305,32.4862,0.455515332,-0.335523004,0.359617367,-1.646897701
248,1047,AL,Alabama,Dallas,-87.0336,32.4166,0.455515332,-0.335523004,0.359617367,-1.646897701
249,1047,AL,Alabama,Dallas,-86.8797,32.3393,0.455515332,-0.335523004,0.359617367,-1.646897701
250,1047,AL,Alabama,Dallas,-86.9244,32.6568,0.455515332,-0.335523004,0.359617367,-1.646897701
251,1047,AL,Alabama,Dallas,-86.9936,32.0779,0.455515332,-0.335523004,0.359617367,-1.646897701
252,1047,AL,Alabama,Dallas,-86.8917,32.4746,0.455515332,-0.335523004,0.359617367,-1.646897701
253,1047,AL,Alabama,Dallas,-87.2039,32.3401,0.455515332,-0.335523004,0.359617367,-1.646897701
254,1047,AL,Alabama,Dallas,-87.3714,32.2879,0.455515332,-0.335523004,0.359617367,-1.646897701
